# die	292.62	292.62
# bins	64
# instances	18510	1499
all	0	0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.000,0.025,0.089,0.000,0.000,0.165,0.089,0.000,0.102,0.038,0.089,0.038,0.089,0.000,0.000,0.038,0.000,0.000,0.089,0.000,0.089,0.000,0.000,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.025,0.038,0.038,0.000,0.140,0.000,0.000,0.000,0.013
ff	0	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
all	1	0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.229,0.038,0.076,0.458,0.394,0.547,0.611,0.420,0.445,0.458,0.662,0.827,0.534,0.623,0.458,0.700,0.509,0.751,0.420,0.598,0.560,0.407,0.534,0.496,0.585,0.522,0.713,0.802,0.458,0.445,0.560,0.522,0.573,0.445,0.000,0.000,0.000,0.064,0.458,0.916,0.802,0.636,0.763,0.445,0.560,0.522,0.700,0.534,0.700,0.420,0.000,0.051
ff	1	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
all	2	0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.458,0.496,0.382,0.305,0.458,0.369,0.153,0.484,0.305,0.382,0.713,0.305,0.522,0.331,0.344,0.369,0.382,0.318,0.318,0.318,0.242,0.280,0.585,0.484,0.445,0.394,0.318,0.076,0.331,0.382,0.254,0.254,0.293,0.318,0.344,0.547,0.458,0.038,0.000,0.267,0.254,0.636,0.496,0.382,0.471,0.458,0.420,0.420,0.331,0.471,0.407,0.356,0.547,0.000,0.038
ff	2	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
all	3	0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.115,0.331,0.267,0.165,0.407,0.229,0.445,0.356,0.344,0.204,0.318,0.127,0.293,0.229,0.407,0.267,0.344,0.496,0.471,0.420,0.445,0.623,0.496,0.254,0.280,0.293,0.331,0.522,0.496,0.394,0.293,0.420,0.331,0.509,0.458,0.394,0.242,0.242,0.000,0.000,0.229,0.356,0.369,0.254,0.280,0.420,0.445,0.280,0.522,0.356,0.254,0.318,0.293,0.242,0.000,0.038
ff	3	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
all	4	0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.229,0.369,0.433,0.318,0.280,0.369,0.560,0.382,0.254,0.484,0.420,0.216,0.573,0.394,0.445,0.496,0.369,0.293,0.458,0.344,0.331,0.267,0.369,0.445,0.496,0.394,0.318,0.420,0.407,0.369,0.305,0.445,0.407,0.267,0.471,0.382,0.496,0.369,0.636,0.025,0.000,0.522,0.344,0.331,0.496,0.344,0.573,0.242,0.560,0.611,0.496,0.254,0.496,0.420,0.318,0.000,0.038
ff	4	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
